date,admin1,admin2,market,latitude,longitude,category,commodity,unit,price,usdprice
2013-03-15,,,National Average,,,vegetables and fruits,Onions,KG,0.7,0.9872
2013-03-15,,,National Average,,,vegetables and fruits,Oranges (big size),KG,0.97,1.3702
2013-03-15,,,National Average,,,vegetables and fruits,Tomatoes,KG,0.59,0.8365
2013-04-15,,,National Average,,,cereals and tubers,Bread (pita),KG,0.17,0.2324
2013-04-15,,,National Average,,,cereals and tubers,Potatoes,KG,0.73,1.028
2013-04-15,,,National Average,,,cereals and tubers,Rice (imported),KG,1.14,1.6096
2013-04-15,,,National Average,,,"meat, fish and eggs",Eggs,2 KG,3.58,5.0472
2013-04-15,,,National Average,,,"meat, fish and eggs",Meat (beef),KG,9.39,13.2236
2013-04-15,,,National Average,,,"meat, fish and eggs",Meat (chicken),KG,2.37,3.3418
2013-04-15,,,National Average,,,"meat, fish and eggs","Meat (chicken, whole)",KG,1.75,2.4645
2013-04-15,,,National Average,,,"meat, fish and eggs",Meat (lamb),KG,11.98,16.8766
2013-04-15,,,National Average,,,milk and dairy,"Cheese (white, boiled)",KG,4.71,6.6343
2013-04-15,,,National Average,,,milk and dairy,Milk (pasteurized),L,1.17,1.6533
2013-04-15,,,National Average,,,miscellaneous food,Sugar,KG,0.79,1.1055
2013-04-15,,,National Average,,,oil and fats,Oil (olive),KG,5.07,7.1413
2013-04-15,,,National Average,,,oil and fats,Oil (vegetable),1.8 L,1.86,2.6236
2013-04-15,,,National Average,,,pulses and nuts,"Beans (fava, dry)",KG,1.48,2.0828
2013-04-15,,,National Average,,,pulses and nuts,Chickpeas,KG,1.83,2.5757
2013-04-15,,,National Average,,,pulses and nuts,Lentils,KG,1.33,1.8772
2013-04-15,,,National Average,,,vegetables and fruits,Apples (red),KG,2.27,3.1911
2013-04-15,,,National Average,,,vegetables and fruits,Bananas,KG,0.86,1.2097
2013-04-15,,,National Average,,,vegetables and fruits,Cucumbers,KG,0.58,0.8224
2013-04-15,,,National Average,,,vegetables and fruits,Garlic,KG,2.25,3.1644
2013-04-15,,,National Average,,,vegetables and fruits,Onions,KG,0.65,0.921
2013-04-15,,,National Average,,,vegetables and fruits,Oranges (big size),KG,1.34,1.8857
2013-04-15,,,National Average,,,vegetables and fruits,Tomatoes,KG,0.72,1.021
2013-05-15,,,National Average,,,cereals and tubers,Bread (pita),KG,0.17,0.2324
2013-05-15,,,National Average,,,cereals and tubers,Potatoes,KG,0.78,1.0942
2013-05-15,,,National Average,,,cereals and tubers,Rice (imported),KG,1.15,1.6125
2013-05-15,,,National Average,,,"meat, fish and eggs",Eggs,2 KG,3.65,5.1472
2013-05-15,,,National Average,,,"meat, fish and eggs",Meat (beef),KG,9.26,13.0419
2013-05-15,,,National Average,,,"meat, fish and eggs",Meat (chicken),KG,2.37,3.3334
2013-05-15,,,National Average,,,"meat, fish and eggs","Meat (chicken, whole)",KG,1.74,2.456
2013-05-15,,,National Average,,,"meat, fish and eggs",Meat (lamb),KG,12.03,16.947
2013-05-15,,,National Average,,,milk and dairy,"Cheese (white, boiled)",KG,4.54,6.3879
2013-05-15,,,National Average,,,milk and dairy,Milk (pasteurized),L,1.16,1.635
2013-05-15,,,National Average,,,miscellaneous food,Sugar,KG,0.79,1.1125
2013-05-15,,,National Average,,,oil and fats,Oil (olive),KG,5.07,7.1413
2013-05-15,,,National Average,,,oil and fats,Oil (vegetable),1.8 L,1.86,2.6222
2013-05-15,,,National Average,,,pulses and nuts,"Beans (fava, dry)",KG,1.49,2.1025
2013-05-15,,,National Average,,,pulses and nuts,Chickpeas,KG,1.8,2.5335
2013-05-15,,,National Average,,,pulses and nuts,Lentils,KG,1.33,1.88
2013-05-15,,,National Average,,,vegetables and fruits,Apples (red),KG,1.99,2.7954
